iter	Passed	Remaining
0	3	3110
1	5	2937
2	9	2992
3	11	2985
4	15	3152
5	19	3199
6	22	3199
7	25	3211
8	29	3286
9	33	3293
10	36	3265
11	39	3256
12	43	3265
13	46	3251
14	49	3249
15	52	3245
16	55	3234
17	59	3237
18	62	3229
19	65	3223
20	68	3208
21	72	3203
22	75	3190
23	77	3169
24	80	3154
25	83	3144
26	87	3147
27	90	3140
28	93	3118
29	96	3115
30	99	3104
31	102	3099
32	105	3090
33	108	3079
34	111	3067
35	114	3053
36	117	3048
37	119	3037
38	122	3023
39	125	3000
40	127	2992
41	130	2984
42	133	2980
43	137	2978
44	140	2976
45	143	2969
46	146	2966
47	149	2959
48	152	2956
49	155	2954
50	158	2950
51	161	2952
52	165	2951
53	168	2945
54	171	2943
55	174	2940
56	177	2937
57	180	2933
58	182	2914
59	185	2909
60	188	2904
61	191	2903
62	194	2899
63	197	2894
64	201	2892
65	204	2888
66	207	2883
67	209	2877
68	213	2874
69	216	2870
70	218	2864
71	221	2859
72	224	2856
73	228	2855
74	231	2855
75	234	2852
76	237	2849
77	240	2846
78	244	2845
79	247	2842
80	250	2839
81	253	2836
82	256	2835
83	260	2835
84	263	2832
85	266	2828
86	269	2825
87	272	2823
88	275	2824
89	279	2824
90	282	2821
91	285	2817
92	288	2813
93	291	2811
94	294	2808
95	297	2803
96	300	2800
97	302	2787
98	306	2785
99	309	2781
100	311	2776
101	314	2768
102	317	2764
103	320	2759
104	323	2755
105	326	2751
106	329	2750
107	332	2747
108	335	2744
109	339	2743
110	342	2739
111	345	2736
112	348	2731
113	350	2727
114	353	2724
115	356	2719
116	359	2715
117	362	2711
118	365	2708
119	368	2704
120	371	2701
121	374	2696
122	377	2692
123	381	2696
124	388	2716
125	391	2717
126	395	2719
127	399	2719
128	402	2716
129	404	2709
130	407	2705
131	410	2701
132	414	2698
133	417	2694
134	419	2690
135	423	2687
136	426	2684
137	429	2681
138	432	2675
139	435	2672
140	438	2669
141	441	2668
142	445	2668
143	448	2666
144	451	2663
145	455	2661
146	458	2661
147	461	2656
148	464	2653
149	467	2651
150	474	2665
151	477	2661
152	479	2657
153	482	2652
154	485	2648
155	487	2639
156	490	2634
157	493	2631
158	496	2627
159	499	2623
160	502	2620
161	506	2617
162	509	2614
163	512	2610
164	514	2605
165	517	2602
166	520	2598
167	523	2594
168	526	2589
169	529	2586
170	532	2582
171	535	2578
172	538	2574
173	541	2571
174	544	2567
175	547	2564
176	550	2560
177	553	2556
178	556	2553
179	559	2547
180	562	2544
181	565	2540
182	568	2536
183	571	2533
184	574	2530
185	577	2527
186	580	2523
187	583	2519
188	587	2521
189	590	2518
190	593	2515
191	596	2512
192	599	2508
193	602	2504
194	605	2501
195	609	2498
196	612	2495
197	615	2492
198	618	2488
199	622	2489
200	624	2483
201	631	2494
202	634	2492
203	638	2491
204	641	2489
205	645	2486
206	648	2483
207	651	2482
208	654	2478
209	657	2473
210	659	2465
211	662	2461
212	664	2457
213	667	2452
214	670	2448
215	673	2443
216	675	2438
217	678	2434
218	681	2430
219	684	2426
220	686	2421
221	689	2417
222	692	2412
223	694	2407
224	697	2403
225	700	2399
226	703	2395
227	706	2391
228	709	2388
229	712	2385
230	715	2381
231	718	2377
232	721	2373
233	724	2371
234	727	2369
235	730	2366
236	734	2363
237	737	2359
238	739	2355
239	742	2352
240	745	2349
